iter	RMSE
0	71391.65081
1	70589.87797
2	69660.52051
3	68781.10454
4	67917.94453
5	67210.11149
6	66513.46162
7	65889.25092
8	65222.92923
9	64653.31509
10	64140.69509
11	63674.46667
12	63075.90217
13	62681.18617
14	62116.52008
15	61546.89065
16	61219.92038
17	60752.86732
18	60316.2887
19	59949.55987
20	59426.42261
21	59051.99211
22	58637.99434
23	58273.93084
24	57854.13663
25	57445.95876
26	57118.39758
27	56882.68076
28	56500.00495
29	56254.39319
30	55867.36248
31	55600.69713
32	55233.43927
33	54959.22728
34	54673.16312
35	54346.17806
36	54009.08879
37	53780.28895
38	53551.67244
39	53280.23025
40	53039.25704
41	52794.93435
42	52553.29905
43	52298.27878
44	52014.34218
45	51822.16079
46	51579.95938
47	51337.49628
48	51154.22307
49	50983.77946
50	50795.9323
51	50576.31896
52	50460.91068
53	50264.13834
54	50049.70331
55	49788.63618
56	49643.34023
57	49483.03851
58	49310.80564
59	49062.56396
60	48923.34912
61	48785.89374
62	48627.05619
63	48521.59803
64	48278.02407
65	48159.97723
66	48073.44615
67	47926.85445
68	47811.72682
69	47601.74387
70	47531.55085
71	47351.74504
72	47152.57235
73	46974.61117
74	46856.86173
75	46766.19742
76	46642.24653
77	46553.05223
78	46420.48791
79	46292.83586
80	46215.99779
81	46101.14002
82	46005.99948
83	45992.87909
84	45850.99653
85	45802.96043
86	45649.17141
87	45541.22588
88	45484.83193
89	45391.12492
90	45349.44023
91	45315.71317
92	45252.1848
93	45167.2633
94	45066.67093
95	44989.75226
96	44863.11078
97	44766.14922
98	44628.11806
99	44565.00576
100	44498.83384
101	44442.48999
102	44323.30824
103	44275.40303
104	44248.46145
105	44144.09329
106	44055.58665
107	43998.32315
108	43955.89918
109	43878.09482
110	43836.76224
111	43778.41084
112	43734.10129
113	43683.54175
114	43616.89998
115	43548.9544
116	43459.98081
117	43391.78876
118	43306.6969
119	43223.69512
120	43168.63947
121	43088.42533
122	43003.30501
123	42961.28088
124	42894.27519
125	42847.65199
126	42773.70576
127	42727.8741
128	42684.58802
129	42586.39776
130	42520.16791
131	42427.21791
132	42356.4619
133	42266.91722
134	42169.07165
135	42064.41997
136	42028.20681
137	41977.70582
138	41938.08629
139	41888.44487
140	41860.96745
141	41820.07606
142	41728.6594
143	41643.31158
144	41614.66309
145	41555.54928
146	41477.36836
147	41418.98378
148	41349.01025
149	41282.27797
150	41252.76659
151	41209.12573
152	41181.90493
153	41135.49022
154	41083.89379
155	41019.46581
156	40944.00776
157	40906.27892
158	40856.89588
159	40763.01612
160	40675.5662
161	40620.77018
162	40572.60296
163	40526.8867
164	40453.72903
165	40429.85982
166	40390.242
167	40342.91951
168	40303.68233
169	40261.04671
170	40201.57345
171	40177.61226
172	40134.24547
173	40075.2485
174	40024.90903
175	39973.85242
176	39934.27141
177	39868.8407
178	39840.56238
179	39725.97549
180	39687.51117
181	39659.14039
182	39611.27784
183	39570.57468
184	39517.07101
185	39492.57113
186	39440.54543
187	39403.14328
188	39348.83264
189	39311.15663
190	39243.10273
191	39163.92971
192	39116.1549
193	39060.74162
194	39026.84243
195	38938.59288
196	38912.51545
197	38883.79895
198	38837.40017
199	38771.79385
200	38741.51387
201	38688.49661
202	38629.41206
203	38585.28472
204	38557.04497
205	38507.06619
206	38446.52987
207	38392.31532
208	38340.44005
209	38319.16045
210	38264.04403
211	38244.06692
212	38208.21311
213	38167.59587
214	38124.69155
215	38050.81381
216	38006.2173
217	37962.75365
218	37938.29038
219	37881.16349
220	37859.16155
221	37853.90435
222	37792.64372
223	37772.84005
224	37736.64646
225	37703.32482
226	37665.45389
227	37645.70936
228	37595.51166
229	37545.55569
230	37513.5897
231	37450.84282
232	37428.83123
233	37391.67168
234	37373.24545
235	37367.9982
236	37345.95426
237	37300.78465
238	37278.95598
239	37237.54582
240	37186.73879
241	37167.7512
242	37113.78743
243	37071.63653
244	37052.38636
245	37005.03861
246	36965.88451
247	36946.36792
248	36905.90141
249	36886.03154
250	36830.12997
251	36793.39824
252	36715.83933
253	36682.58673
254	36663.82852
255	36644.14513
256	36628.14978
257	36591.617
258	36556.15504
259	36536.83186
260	36510.84217
261	36462.13798
262	36410.16171
263	36390.52193
264	36351.85414
265	36332.66767
266	36316.63814
267	36274.90285
268	36258.29889
269	36208.99769
270	36177.93741
271	36142.01859
272	36098.60924
273	36061.13962
274	36050.75132
275	36035.27345
276	35983.5063
277	35947.69049
278	35910.52688
279	35874.66081
280	35859.47295
281	35828.70889
282	35795.87604
283	35777.20563
284	35746.71807
285	35716.70512
286	35685.57503
287	35627.06077
288	35578.75462
289	35553.59226
290	35530.96421
291	35499.00138
292	35477.49905
293	35438.70737
294	35404.55891
295	35390.42198
296	35343.86918
297	35315.41167
298	35301.69163
299	35260.29676
300	35229.105
301	35190.26772
302	35187.07235
303	35159.11106
304	35155.35745
305	35122.874
306	35086.58815
307	35045.67523
308	35019.348
309	34986.48081
310	34968.54487
311	34935.05338
312	34905.31994
313	34868.6746
314	34846.58997
315	34828.94312
316	34796.68925
317	34770.2522
318	34724.29759
319	34710.22562
320	34684.4957
321	34671.78143
322	34664.10683
323	34639.70075
324	34607.52271
325	34604.44003
326	34565.05895
327	34520.49992
328	34493.65496
329	34452.62956
330	34441.18204
331	34429.04411
332	34417.12184
333	34374.82662
334	34344.22459
335	34331.98937
336	34302.62274
337	34288.72827
338	34267.03319
339	34236.03504
340	34210.67253
341	34155.53748
342	34108.70014
343	34097.63088
344	34069.45721
345	34066.64225
346	34033.27579
347	34005.5607
348	33993.81778
349	33951.85247
350	33934.32035
351	33886.66618
352	33855.93525
353	33823.42503
354	33813.36494
355	33790.55615
356	33745.01269
357	33706.50265
358	33677.17166
359	33652.8172
360	33633.54662
361	33588.49536
362	33550.18966
363	33529.04685
364	33498.28909
365	33485.80359
366	33454.50376
367	33425.951
368	33411.22266
369	33382.08242
370	33364.63649
371	33355.20794
372	33321.70438
373	33319.29571
374	33313.38083
375	33277.21058
376	33251.96279
377	33238.88223
378	33214.90311
379	33175.20256
380	33172.52514
381	33139.19237
382	33116.8953
383	33110.95842
384	33090.23729
385	33073.38983
386	33042.25706
387	33025.71735
388	32993.51802
389	32974.96886
390	32958.39629
391	32930.7577
392	32906.22673
393	32887.12418
394	32856.06199
395	32836.57937
396	32796.21603
397	32779.54475
398	32749.72217
399	32747.34968
400	32726.64525
401	32718.04116
402	32709.00956
403	32693.68048
404	32683.22746
405	32671.48845
406	32636.56785
407	32621.41733
408	32618.21127
409	32603.41618
410	32570.50171
411	32557.45347
412	32528.63208
413	32513.78996
414	32498.10473
415	32490.35622
416	32477.23669
417	32441.94156
418	32420.13281
419	32399.8404
420	32383.56546
421	32365.21709
422	32340.82362
423	32324.97383
424	32312.74597
425	32303.12414
426	32258.11727
427	32251.06066
428	32236.77638
429	32217.38105
430	32191.20322
431	32180.84773
432	32171.4986
433	32145.79701
434	32100.10057
435	32070.07678
436	32048.07158
437	32022.47129
