iter	Passed	Remaining
0	0	800
1	1	760
2	2	723
3	2	698
4	3	662
5	3	599
6	4	603
7	4	613
8	5	621
9	6	630
10	7	638
11	7	641
12	8	630
13	8	619
14	9	621
15	10	623
16	10	613
17	11	617
18	11	619
19	12	622
20	13	624
21	14	627
22	14	627
23	15	628
24	16	629
25	16	629
26	17	628
27	18	629
28	18	631
29	19	629
30	20	629
31	20	628
32	21	628
33	22	627
34	22	627
35	23	627
36	24	627
37	24	628
38	25	628
39	26	628
40	26	628
41	27	627
42	28	626
43	28	625
44	29	625
45	30	624
46	30	624
47	31	623
48	32	622
49	32	622
50	33	622
51	34	621
52	34	620
53	35	618
54	35	616
55	36	615
56	37	613
57	37	611
58	38	609
59	38	607
60	39	606
61	39	604
62	40	603
63	41	602
64	41	601
65	42	599
66	43	599
67	43	599
68	44	597
69	44	597
70	45	596
71	46	594
72	46	593
73	47	593
74	48	592
75	48	591
76	49	590
77	49	588
78	50	587
79	50	586
80	51	584
81	52	584
82	52	583
83	53	579
84	53	579
85	54	578
86	55	577
87	55	577
88	56	577
89	57	577
90	57	576
91	58	574
92	58	573
93	59	573
94	60	572
95	60	571
96	61	570
97	61	570
98	62	568
99	63	567
100	63	567
101	64	566
102	64	565
103	65	564
104	65	561
105	66	561
106	67	560
107	67	560
108	68	559
109	68	557
110	69	557
111	70	556
112	70	556
113	71	556
114	72	557
115	73	556
116	73	555
117	74	554
118	74	554
119	75	553
120	76	553
121	76	552
122	77	551
123	77	550
124	78	549
125	79	550
126	79	549
127	80	549
128	81	549
129	82	549
130	82	549
131	83	548
132	84	548
133	84	548
134	85	548
135	86	547
136	86	547
137	87	547
138	88	546
139	88	545
140	89	544
141	89	543
142	90	543
143	91	543
144	91	542
145	92	542
146	93	542
147	94	542
148	94	542
149	95	542
150	96	541
151	96	540
152	97	539
153	98	538
154	98	538
155	99	537
156	99	536
157	100	535
158	101	535
159	101	534
160	102	533
161	102	532
162	103	531
163	104	531
164	104	530
165	105	528
166	105	528
167	106	527
168	107	527
169	107	526
170	108	525
171	108	524
172	109	523
173	110	522
174	110	521
175	111	521
176	111	520
177	112	519
178	113	519
179	113	518
180	114	517
181	115	517
182	115	516
183	116	515
184	116	514
185	117	513
186	117	512
187	118	512
188	119	511
189	119	510
190	120	510
191	120	509
192	121	508
193	122	507
194	122	506
195	123	506
196	123	505
197	124	504
198	125	503
199	125	502
200	126	501
201	126	501
202	127	500
203	128	499
204	128	498
205	129	498
206	130	498
207	130	498
208	131	497
209	132	496
210	132	495
211	133	495
212	133	494
213	134	493
214	134	492
215	135	492
216	136	491
217	136	490
218	137	490
219	138	489
220	138	488
221	138	486
222	139	486
223	139	484
224	140	484
225	141	483
226	141	482
227	142	481
228	142	480
229	143	480
230	144	480
231	144	479
232	145	479
233	146	478
234	146	477
235	147	476
236	147	475
237	148	475
238	148	474
239	149	473
240	150	473
241	150	472
242	151	471
243	151	470
244	152	470
245	153	469
246	153	469
247	154	468
248	155	467
249	155	466
250	156	466
251	156	465
252	157	465
253	158	464
254	158	463
255	159	462
256	159	462
257	160	461
258	161	461
259	161	460
260	162	459
261	162	458
262	163	458
263	164	457
264	164	456
265	165	456
266	165	455
267	166	455
268	167	454
269	167	453
270	168	453
271	169	452
272	169	451
273	170	451
274	171	450
275	171	450
276	172	450
277	173	449
278	173	449
279	174	448
280	175	448
281	175	447
282	176	446
283	176	446
284	177	445
285	178	444
286	178	444
287	179	443
288	180	443
289	180	442
290	181	442
291	182	441
292	182	441
293	183	440
294	184	440
295	184	439
296	185	438
297	186	438
298	186	437
299	187	437
300	187	436
301	188	435
302	189	434
303	189	434
304	190	434
305	191	433
306	191	432
307	192	432
308	193	431
309	193	431
310	194	430
311	194	429
312	195	429
313	196	428
314	196	428
315	197	427
316	198	426
317	198	425
318	199	425
319	199	424
320	200	424
321	201	423
322	201	422
323	202	422
324	202	421
325	203	420
326	204	420
327	204	419
328	205	418
329	205	418
330	206	417
331	207	416
332	207	415
333	208	415
334	208	414
335	209	413
336	209	413
337	210	412
338	211	411
339	211	411
340	212	410
341	212	409
342	213	409
343	214	408
344	214	407
345	215	407
346	216	406
347	216	405
348	217	405
349	217	404
350	218	404
351	219	403
352	219	402
353	220	402
354	221	401
355	221	400
356	222	400
357	222	399
358	223	399
359	224	398
360	225	398
361	225	397
362	226	397
363	227	396
364	227	396
365	228	395
366	228	394
367	229	394
368	230	393
369	230	392
370	231	392
371	231	391
372	232	390
373	232	389
374	233	389
375	234	388
376	234	388
377	235	387
378	236	386
379	236	386
380	237	385
381	237	384
382	238	384
383	239	383
384	239	383
385	240	382
386	240	381
387	241	380
388	242	380
389	242	379
390	243	379
391	243	378
392	244	377
393	245	377
394	245	376
395	246	375
396	247	375
397	247	374
398	248	373
399	248	373
400	249	372
401	250	371
402	250	371
403	251	370
404	251	369
405	252	369
406	253	368
407	253	367
408	254	367
409	254	366
410	255	366
411	255	365
412	256	364
413	257	363
414	257	363
415	258	362
416	258	361
417	259	361
418	260	360
419	260	360
420	261	359
421	262	358
422	262	358
423	263	357
424	263	357
